§Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]
6349	0.004024	6349	0.004086	6349	0.003549	6349	0.004153
6554	0.00415	6554	0.003858	6554	0.003131	6554	0.004751
6963	0.003662	6963	0.002581	6963	0.002545	6963	0.004634
7373	0.003229	7373	0.002046	7373	0.002238	7373	0.0038
7782	0.003706	7782	0.001718	7782	0.002149	7782	0.003462
8192	0.004277	8192	0.002072	8192	0.002131	8192	0.003945
8602	0.003757	8602	0.002694	8602	0.002307	8602	0.004001
9011	0.002432	9011	0.003111	9011	0.002349	9011	0.00347
9421	0.001719	9421	0.003499	9421	0.002225	9421	0.00303
9830	0.002009	9830	0.003592	9830	0.002138	9830	0.003324
10240	0.00266	10240	0.003327	10240	0.002339	10240	0.003361
10650	0.002844	10650	0.002612	10650	0.002165	10650	0.002882
11060	0.002921	11060	0.002249	11060	0.00322	11060	0.002654
11470	0.002625	11470	0.002232	11470	0.004348	11470	0.002789
11880	0.002725	11880	0.002359	11880	0.004687	11880	0.003236
12290	0.002772	12290	0.00237	12290	0.004746	12290	0.003198
12700	0.003071	12700	0.002418	12700	0.00495	12700	0.002989
13110	0.002997	13110	0.002893	13110	0.005318	13110	0.003009
13930	0.003084	13930	0.002635	13930	0.004111	13930	0.003025
14750	0.002662	14750	0.002915	14750	0.002989	14750	0.002858
15560	0.002444	15560	0.002423	15560	0.003179	15560	0.002638
16380	0.002129	16380	0.002284	16380	0.003592	16380	0.002782
17200	0.002337	17200	0.001848	17200	0.003428	17200	0.00315
18020	0.002305	18020	0.001868	18020	0.003019	18020	0.003249
18840	0.002651	18840	0.001941	18840	0.00283	18840	0.002925
19660	0.002273	19660	0.002237	19660	0.003445	19660	0.003006
20480	0.002369	20480	0.002341	20480	0.003336	20480	0.002683
21300	0.002451	21300	0.002422	21300	0.003025	21300	0.002507
22120	0.002823	22120	0.002142	22120	0.002933	22120	0.002331
22940	0.003386	22940	0.001674	22940	0.003454	22940	0.002375
23760	0.003075	23760	0.001574	23760	0.004311	23760	0.002627
24580	0.003094	24580	0.001628	24580	0.00384	24580	0.002215
25400	0.00265	25400	0.002242	25400	0.003587	25400	0.002118
26210	0.002576	26210	0.002436	26210	0.002746	26210	0.001981
27850	0.002409	27850	0.002321	27850	0.0022	27850	0.002286
29490	0.002106	29490	0.001777	29490	0.001924	29490	0.002315
31130	0.001926	31130	0.002052	31130	0.002494	31130	0.002361
32770	0.002263	32770	0.002126	32770	0.00294	32770	0.001933
34410	0.002744	34410	0.002572	34410	0.002954	34410	0.001685
36040	0.003048	36040	0.002503	36040	0.002487	36040	0.001493
37680	0.00281	37680	0.002707	37680	0.002021	37680	0.001581
39320	0.002518	39320	0.002429	39320	0.002225	39320	0.001489
40960	0.002238	40960	0.002279	40960	0.002103	40960	0.001752
42600	0.002131	42600	0.002012	42600	0.002334	42600	0.001845
44240	0.002014	44240	0.002153	44240	0.001983	44240	0.002223
45880	0.002131	45880	0.002147	45880	0.002034	45880	0.001903
47510	0.002068	47510	0.002565	47510	0.001871	47510	0.002293
49150	0.001971	49150	0.002742	49150	0.00208	49150	0.002044
50790	0.001692	50790	0.002539	50790	0.001986	50790	0.002206
52430	0.00168	52430	0.002321	52430	0.002165	52430	0.001743
55710	0.001514	55710	0.001859	55710	0.002291	55710	0.001749
58980	0.001497	58980	0.001869	58980	0.002471	58980	0.001612
62260	0.001782	62260	0.001622	62260	0.002267	62260	0.00176
65540	0.002029	65540	0.001899	65540	0.001786	65540	0.001703
68810	0.002297	68810	0.002005	68810	0.001631	68810	0.001749
72090	0.002385	72090	0.002018	72090	0.001759	72090	0.001759
75370	0.002429	75370	0.001899	75370	0.0019	75370	0.001699
78640	0.002192	78640	0.001822	78640	0.001749	78640	0.001536
81920	0.002031	81920	0.002082	81920	0.001399	81920	0.001526
85200	0.002011	85200	0.002135	85200	0.001201	85200	0.00133
88470	0.002136	88470	0.002138	88470	0.001048	88470	0.001493
91750	0.002036	91750	0.001749	91750	0.001405	91750	0.00166
95030	0.001957	95030	0.001891	95030	0.001435	95030	0.001864
98300	0.001922	98300	0.001834	98300	0.001602	98300	0.002031
101600	0.001908	101600	0.00219	101600	0.001219	101600	0.001963
104900	0.001815	104900	0.001994	104900	0.001315	104900	0.001942
111400	0.001849	111400	0.001983	111400	0.001171	111400	0.001739
118000	0.001508	118000	0.001933	118000	0.001506	118000	0.001678
124500	0.00144	124500	0.001907	124500	0.001499	124500	0.001579
131100	0.001223	131100	0.002347	131100	0.001475	131100	0.0017
137600	0.001394	137600	0.002313	137600	0.001215	137600	0.001519
144200	0.001544	144200	0.002465	144200	0.00121	144200	0.001689
150700	0.001614	150700	0.002476	150700	0.001501	150700	0.001387
157300	0.001607	157300	0.002561	157300	0.001622	157300	0.001415
163800	0.001756	163800	0.002412	163800	0.001601	163800	0.001234
170400	0.001606	170400	0.002404	170400	0.001627	170400	0.001155
176900	0.001699	176900	0.002367	176900	0.001601	176900	0.001326
183500	0.001586	183500	0.002727	183500	0.001705	183500	0.001664
190100	0.001863	190100	0.002446	190100	0.001629	190100	0.001997
196600	0.001882	196600	0.002529	196600	0.001655	196600	0.002082
203200	0.002006	203200	0.002374	203200	0.001568	203200	0.001973
209700	0.001877	209700	0.002609	209700	0.001659	209700	0.001887
222800	0.001718	222800	0.002571	222800	0.00165	222800	0.001563
235900	0.001559	235900	0.002565	235900	0.001879	235900	0.001328
249000	0.001541	249000	0.002448	249000	0.00189	249000	0.001443
262100	0.0016	262100	0.002416	262100	0.002027	262100	0.001521
275300	0.001779	275300	0.002539	275300	0.001987	275300	0.001643
288400	0.001811	288400	0.002593	288400	0.00194	288400	0.001648
301500	0.001818	301500	0.002689	301500	0.002075	301500	0.00164
314600	0.001888	314600	0.002585	314600	0.001881	314600	0.001691
327700	0.002103	327700	0.002549	327700	0.001812	327700	0.001798
340800	0.002244	340800	0.002384	340800	0.001506	340800	0.002023
353900	0.002343	353900	0.00224	353900	0.001323	353900	0.002115
367000	0.002213	367000	0.002115	367000	0.001188	367000	0.002021
380100	0.002152	380100	0.002193	380100	0.001137	380100	0.001998
393200	0.002082	393200	0.00248	393200	0.001355	393200	0.002124
406300	0.002194	406300	0.002629	406300	0.001435	406300	0.002154
419400	0.002261	419400	0.002821	419400	0.001629	419400	0.002051
445600	0.002254	445600	0.002773	445600	0.001903	445600	0.001773
471900	0.002256	471900	0.002759	471900	0.001925	471900	0.001777
498100	0.002217	498100	0.002594	498100	0.001922	498100	0.001985
524300	0.002006	524300	0.00247	524300	0.001778	524300	0.00211
550500	0.001933	550500	0.002523	550500	0.001869	550500	0.002219
576700	0.002006	576700	0.00273	576700	0.001978	576700	0.002443
602900	0.001986	602900	0.002984	602900	0.002175	602900	0.00262
629100	0.002016	629100	0.003175	629100	0.002389	629100	0.002766
655400	0.002107	655400	0.003423	655400	0.00248	655400	0.002639
681600	0.002423	681600	0.003513	681600	0.002469	681600	0.002679
707800	0.002568	707800	0.003649	707800	0.00255	707800	0.002706
734000	0.002689	734000	0.003681	734000	0.002623	734000	0.002863
760200	0.002811	760200	0.003712	760200	0.002565	760200	0.002881
786400	0.00286	786400	0.003686	786400	0.002335	786400	0.002836
812600	0.002842	812600	0.003564	812600	0.002132	812600	0.002722
838900	0.002626	838900	0.003478	838900	0.002218	838900	0.002628
891300	0.002289	891300	0.003438	891300	0.002411	891300	0.002592
943700	0.001868	943700	0.003394	943700	0.002501	943700	0.00269
996100	0.001697	996100	0.003467	996100	0.002171	996100	0.002847
1049000	0.001523	1049000	0.003353	1049000	0.002029	1049000	0.002998
1101000	0.00166	1101000	0.003159	1101000	0.001997	1101000	0.002925
1153000	0.001624	1153000	0.003035	1153000	0.002147	1153000	0.002798
1206000	0.001616	1206000	0.00306	1206000	0.00207	1206000	0.002403
1258000	0.00146	1258000	0.003141	1258000	0.001871	1258000	0.002159
1311000	0.001348	1311000	0.003062	1311000	0.001707	1311000	0.002048
1363000	0.001451	1363000	0.002944	1363000	0.001728	1363000	0.001998
1416000	0.001483	1416000	0.002661	1416000	0.001706	1416000	0.001845
1468000	0.001667	1468000	0.002284	1468000	0.001674	1468000	0.001611
1520000	0.001619	1520000	0.001827	1520000	0.001659	1520000	0.001296
1573000	0.001459	1573000	0.001422	1573000	0.001475	1573000	0.001042
1625000	0.0008673	1625000	0.0008605	1625000	0.0008879	1625000	0.000541
1678000	0.0004548	1678000	0.0004583	1678000	0.0004106	1678000	0.0003318
1783000	0	1783000	0	1783000	0	1783000	0
1887000	0	1887000	0	1887000	0	1887000	0
1992000	0	1992000	0	1992000	0	1992000	0
2097000	0	2097000	0	2097000	0	2097000	0
2202000	0	2202000	0	2202000	0	2202000	0
2307000	0	2307000	0	2307000	0	2307000	0
2412000	0	2412000	0	2412000	0	2412000	0
2517000	0	2517000	0	2517000	0	2517000	0
2621000	0	2621000	0	2621000	0	2621000	0
2726000	0	2726000	0	2726000	0	2726000	0
2831000	0	2831000	0	2831000	0	2831000	0
2936000	0	2936000	0	2936000	0	2936000	0
3041000	0	3041000	0	3041000	0	3041000	0
3146000	0	3146000	0	3146000	0	3146000	0
3251000	0	3251000	0	3251000	0	3251000	0
3355000	0	3355000	0	3355000	0	3355000	0
3565000	0	3565000	0	3565000	0	3565000	0
3775000	0	3775000	0	3775000	0	3775000	0
3985000	0	3985000	0	3985000	0	3985000	0
4194000	0	4194000	0	4194000	0	4194000	0
4404000	0	4404000	0	4404000	0	4404000	0
4614000	0	4614000	0	4614000	0	4614000	0
4823000	0	4823000	0	4823000	0	4823000	0
5033000	0	5033000	0	5033000	0	5033000	0
5243000	0	5243000	0	5243000	0	5243000	0
5453000	0	5453000	0	5453000	0	5453000	0
5662000	0	5662000	0	5662000	0	5662000	0
5872000	0	5872000	0	5872000	0	5872000	0
6082000	0	6082000	0	6082000	0	6082000	0
6291000	0	6291000	0	6291000	0	6291000	0
6501000	0	6501000	0	6501000	0	6501000	0
6711000	0	6711000	0	6711000	0	6711000	0
7130000	0	7130000	0	7130000	0	7130000	0
7550000	0	7550000	0	7550000	0	7550000	0
7969000	0	7969000	0	7969000	0	7969000	0
8389000	0	8389000	0	8389000	0	8389000	0
8808000	0	8808000	0	8808000	0	8808000	0
9227000	0	9227000	0	9227000	0	9227000	0
9647000	0	9647000	0	9647000	0	9647000	0
10070000	0	10070000	0	10070000	0	10070000	0
10490000	0	10490000	0	10490000	0	10490000	0
10910000	0	10910000	0	10910000	0	10910000	0
11320000	0	11320000	0	11320000	0	11320000	0
11740000	0	11740000	0	11740000	0	11740000	0
12160000	0	12160000	0	12160000	0	12160000	0
12580000	0	12580000	0	12580000	0	12580000	0
13000000	0	13000000	0	13000000	0	13000000	0
13420000	0	13420000	0	13420000	0	13420000	0
14260000	0	14260000	0	14260000	0	14260000	0
15100000	0	15100000	0	15100000	0	15100000	0
15940000	0	15940000	0	15940000	0	15940000	0
16780000	0	16780000	0	16780000	0	16780000	0
17620000	0	17620000	0	17620000	0	17620000	0
18450000	0	18450000	0	18450000	0	18450000	0
19290000	0	19290000	0	19290000	0	19290000	0
20130000	0	20130000	0	20130000	0	20130000	0
20970000	0	20970000	0	20970000	0	20970000	0
21810000	0	21810000	0	21810000	0	21810000	0
22650000	0	22650000	0	22650000	0	22650000	0
23490000	0	23490000	0	23490000	0	23490000	0
24330000	0	24330000	0	24330000	0	24330000	0
25170000	0	25170000	0	25170000	0	25170000	0
26000000	0	26000000	0	26000000	0	26000000	0
26840000	0	26840000	0	26840000	0	26840000	0
28520000	0	28520000	0	28520000	0	28520000	0
30200000	0	30200000	0	30200000	0	30200000	0
31880000	0	31880000	0	31880000	0	31880000	0
33550000	0	33550000	0	33550000	0	33550000	0
35230000	0	35230000	0	35230000	0	35230000	0
36910000	0	36910000	0	36910000	0	36910000	0
38590000	0	38590000	0	38590000	0	38590000	0
40270000	0	40270000	0	40270000	0	40270000	0
41940000	0	41940000	0	41940000	0	41940000	0
43620000	0	43620000	0	43620000	0	43620000	0
45300000	0	45300000	0	45300000	0	45300000	0
46980000	0	46980000	0	46980000	0	46980000	0
48650000	0	48650000	0	48650000	0	48650000	0
50330000	0	50330000	0	50330000	0	50330000	0
52010000	0	52010000	0	52010000	0	52010000	0
53690000	0	53690000	0	53690000	0	53690000	0
57040000	0	57040000	0	57040000	0	57040000	0
60400000	0	60400000	0	60400000	0	60400000	0
63750000	0	63750000	0	63750000	0	63750000	0
67110000	0	67110000	0	67110000	0	67110000	0
70460000	0	70460000	0	70460000	0	70460000	0
73820000	0	73820000	0	73820000	0	73820000	0
77180000	0	77180000	0	77180000	0	77180000	0
80530000	0	80530000	0	80530000	0	80530000	0
83890000	0	83890000	0	83890000	0	83890000	0
87240000	0	87240000	0	87240000	0	87240000	0
90600000	0	90600000	0	90600000	0	90600000	0
93950000	0	93950000	0	93950000	0	93950000	0
97310000	0	97310000	0	97310000	0	97310000	0
100700000	0	100700000	0	100700000	0	100700000	0
104000000	0	104000000	0	104000000	0	104000000	0
107400000	0	107400000	0	107400000	0	107400000	0
114100000	0	114100000	0	114100000	0	114100000	0
120800000	0	120800000	0	120800000	0	120800000	0
127500000	0	127500000	0	127500000	0	127500000	0
134200000	0	134200000	0	134200000	0	134200000	0
140900000	0	140900000	0	140900000	0	140900000	0
147600000	0	147600000	0	147600000	0	147600000	0
154400000	0	154400000	0	154400000	0	154400000	0
161100000	0	161100000	0	161100000	0	161100000	0
167800000	0	167800000	0	167800000	0	167800000	0
174500000	0	174500000	0	174500000	0	174500000	0
181200000	0	181200000	0	181200000	0	181200000	0
187900000	0	187900000	0	187900000	0	187900000	0
194600000	0	194600000	0	194600000	0	194600000	0
201300000	0	201300000	0	201300000	0	201300000	0
208000000	0	208000000	0	208000000	0	208000000	0
214700000	0	214700000	0	214700000	0	214700000	0
