Type,Delete? (Y/N),Serial Number,Item Name *,Vendor,Catalog #,Owner,Location,Sub-location,Location Details,Price,Amount in Stock,Amount in Stock Units,Min to Stock,Max to Stock,Unit Size,URL,Technical Details,Expiration Date,Lot Number,CAS Number,Alternate Name,Antigen,Applications,Bottle Reference,Clonality,Clone,Concentration,Conjugation,Date Opened,Epitope,Formula,Isotype,Lifespan,Molecular Weight,Physical State,Primary vs Secondary,Purity,Raised in,Recognizes,Contact Person,Contact Phone,Date Installed,Date Purchased,Maintenance History,Serial #,University Tag #,Main user,User *,User to ask,Only for,Date Synced
Antibodies (primary),N,B00001,(Created via API) Human ACE-2 PAb Alexa Fluor 594,"Bio-Techne R&D Systems, S.L.U.",FAB933T-100UG,Matilde Ghibaudi,GBB_4 degrees,Reagents 1,Blue box,,,units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-21
Antibodies (secondary),N,K00002,"(Created via API) Goat anti-Mouse IgG (H+L) Cross-Adsorbed Secondary Antibody, Alexa Fluor™ 700",Termofisher,A-21036,Matilde Ghibaudi,GBB_4 degrees,Reagents 1,Blue box,,,units,,,,https://www.thermofisher.com/antibody/product/Goat-anti-Mouse-IgG-H-L-Cross-Adsorbed-Secondary-Antibody-Polyclonal/A-21036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-21
Equipment,N,E00144,(Created via API) Conductivity measure equipment,Amazon,,Matilde Ghibaudi,GBQ_balance bench,,,,,units,,,,https://www.amazon.es/Apera-instrumentos-ai314-bolsillo-EC60-Premium-conductividad/dp/B01ESYG70K?ref_=ast_sto_dp&th=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-21
Fluorophores GBQ,N,J00004,(Created via API) Fluorescein diacetate 5-maleimide,Sigma-Aldrich,46939-25MG-F,Vanina Cosenza,GBQ_freezer,Common drawer,,,,units,,,25 mg,https://www.sigmaaldrich.com/ES/en/product/sigma/46939,,,,150322-01-3,,,,,,,,,,,,,,511.44,,,,,,,,,,,,,,general use,,,2024-06-21
General Supply,N,E00009,"(Created via API) Art® Barrier Ultra Micro Tips with MicroPoint Design, Thermo Scientific, MicroPoint, Hinged Rack, Volume=1000 µL, Length=8.89 cm (3 1 / 2 ), Sterility=Sterile",Thermo Scientific,2179-HR,Catia Lopes,GBB_Cabinet 5,,,,11,units,10.0,,3072/CS,https://www.midlandsci.com/default.aspx?itemcode=MBP+2179-HR&page=item+detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-21
Reagents,N,E00069,(Created via API) Total Exosome RNA & Protein Isolation Kit,Thermo Scientific,4478545,Matilde Ghibaudi,GBB_cabinet 16,,,,1,units,,,40 rxns,https://www.thermofisher.com/order/catalog/product/4478545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-21
Solvents,N,L00002,"(Created via API) 1,4-Dioxane ≥99.0% (by GC) stabilised",TCI Europe,D0860-500G,Vanina Cosenza,GBQ_cabinet 2,2S2,,,1 bottle opened,units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General use,,,2024-06-21
